url,condition,car,price
www.cars.com/vehicledetail/88f4847a-5e42-425b-9da9-bccaa37bc7f2/,Used,2019 Ferrari GTC4Lusso V12,$289800
www.cars.com/vehicledetail/7ac24294-6d39-4bd3-b30c-e83b9f0e526d/,Used,2016 Ferrari 488 GTB Base,$277900
www.cars.com/vehicledetail/6819827b-161d-4099-b8e2-8cc9680dce81/,Used,2011 Ferrari 458 Italia Base,$214990
www.cars.com/vehicledetail/c6b0cb4e-a5e3-41a7-adb0-7292c1a45fad/,Used,2002 Ferrari 575 M Maranello,$149989
www.cars.com/vehicledetail/92a8ada9-a7e3-4c7d-8df7-c068d23deb4a/,Used,2020 Ferrari GTC4Lusso V12,$299995
www.cars.com/vehicledetail/463c903b-7a33-46cd-9506-fa75f1e93d83/,Used,2020 Ferrari 488 Pista Base,$659900
www.cars.com/vehicledetail/cdf8f216-cb0f-4281-823f-8ac3f801f5d5/,Used,2012 Ferrari California Base,$144500
www.cars.com/vehicledetail/4683f45c-ee6a-4ff4-b843-5612622e59e3/,Used,2019 Ferrari 812 Superfast Base,$449000
www.cars.com/vehicledetail/0b04b841-704f-48eb-bfdf-b0dc7d35338c/,Used,1967 Ferrari 330 GTC,$539900
www.cars.com/vehicledetail/c1662c56-34ba-4407-8095-335e3fa122af/,Used,2018 Ferrari GTC4Lusso V12,$278800
www.cars.com/vehicledetail/6c659336-631f-4d1d-9b0e-7ace4579cd39/,Used,2013 Ferrari 458 Italia Base,$214995
www.cars.com/vehicledetail/0712edc7-2824-4367-ae8f-b2af963f385f/,Used,1988 Ferrari 328 GTS,$179900
www.cars.com/vehicledetail/cf2f42ff-b9d7-40df-9953-f840b4ea65aa/,Used,2009 Ferrari F430 Spider,$189900
www.cars.com/vehicledetail/628e5790-b967-4410-b511-24b9a3d19454/,Ferrari Certified,2020 Ferrari F8 Tributo Base,$449900
www.cars.com/vehicledetail/ce3b7347-3504-42b6-835e-68aaeb1e2c11/,Used,2014 Ferrari F12berlinetta,$279800
www.cars.com/vehicledetail/9146b5e2-c17e-43db-b559-8f958c145c55/,Used,2020 Ferrari F8 Tributo,$449998
www.cars.com/vehicledetail/fc6f3f70-017b-45b6-a369-336861b6c648/,Used,1977 Ferrari 308 GTB,$79900
www.cars.com/vehicledetail/176a78be-c1d6-4f3e-aa77-e30d84ee2b62/,Used,1986 Ferrari Mondial Cabriolet,$49900
www.cars.com/vehicledetail/7b958f4b-70eb-4f90-a74f-769d41541f9d/,Used,2020 Ferrari F8 Tributo Base,$439800
www.cars.com/vehicledetail/9ee1c789-f1f0-4edb-8048-272a3468ff24/,Used,2018 Ferrari GTC4Lusso V12,$219995
www.cars.com/vehicledetail/dc8c456e-8538-4274-a1c6-a2c9fd1f5534/,Used,2002 Ferrari 575 M Maranello,$285000
www.cars.com/vehicledetail/1f61b215-7da3-48ca-bac9-51eb0469582a/,Used,2019 Ferrari 488 Spider Base,$349999
www.cars.com/vehicledetail/af68178b-f5ad-43c4-94dd-305b6685778a/,Ferrari Certified,2021 Ferrari Roma Base,$339991
www.cars.com/vehicledetail/bbdf9755-bbe4-482f-b3c9-f5eaef2fffa8/,Used,2014 Ferrari FF Base,$188000
www.cars.com/vehicledetail/2aa3533e-29fb-4db7-a904-21e2b8337451/,Used,2022 Ferrari Roma Base,$349990
www.cars.com/vehicledetail/ae73179f-6ac4-4b5c-a536-0116f0b8e9a0/,Ferrari Certified,2019 Ferrari 488 GTB Base,$374900
www.cars.com/vehicledetail/b3e8de36-2247-4058-8018-6538e9e2922b/,Used,2015 Ferrari 458 Italia Base,$299995
www.cars.com/vehicledetail/004600f7-bc53-43e9-aeca-8ad4a0440017/,Ferrari Certified,2018 Ferrari 812 Superfast Base,$464995
www.cars.com/vehicledetail/eef03306-e8ee-4e93-aceb-a745fb601288/,Used,2019 Ferrari 812 Superfast Base,$435900
www.cars.com/vehicledetail/1076273a-7a3c-4a8c-993a-81fcd023dfd1/,Used,2018 Ferrari 488 Spider Base,$359000
www.cars.com/vehicledetail/735d731f-c213-4247-8ed7-9781e06f7e5c/,Used,2018 Ferrari 488 Spider Base,$369995
www.cars.com/vehicledetail/3b10fbdf-5181-478d-890f-fed3b38ef834/,Used,2003 Ferrari 360 Spider,$99995
www.cars.com/vehicledetail/3c85fea7-ce5f-4814-83c1-adba952e3e1b/,Used,2006 Ferrari F430 Berlinetta,$239995
www.cars.com/vehicledetail/3fabbdaf-9486-4b2b-937b-aac66f70e1fa/,Used,2006 Ferrari F430 Spider,$149766
www.cars.com/vehicledetail/bfce51e4-188c-4aa6-8901-e1b90ac1e2fd/,Used,1987 Ferrari 328 GTS,$104900
www.cars.com/vehicledetail/ef0216c4-06ab-4756-9dd2-ab99c77460a8/,Used,2013 Ferrari 458 Spider Base,$269000
www.cars.com/vehicledetail/f4a7ea5d-bb21-4c23-9117-5e3a07dbb30a/,Used,2021 Ferrari SF90 Stradale Base,$839998
www.cars.com/vehicledetail/6380746c-8c93-42be-b551-3f21f3ab1743/,Used,2016 Ferrari F12berlinetta Base,$208991
www.cars.com/vehicledetail/925be7f6-b9e4-42c0-bbdf-6bdd9669e568/,Used,2015 Ferrari 458 Italia 2DR CONV SPIDER,$339338
www.cars.com/vehicledetail/81fad5dc-a7d6-4c97-aea8-9d2a523671e0/,Used,2017 Ferrari 488 Spider Base,$359900
www.cars.com/vehicledetail/1babe15e-f983-4b70-abce-ba2e8a2ffffe/,Used,2019 Ferrari 812 Superfast Base,$445991
www.cars.com/vehicledetail/08de3d6a-87a0-4367-b387-457bd656abe1/,Used,2016 Ferrari 488 GTB Base,$259900
www.cars.com/vehicledetail/61c0f675-3f29-4189-a1cf-d222f6082baa/,Used,2014 Ferrari F12berlinetta Base,$272500
www.cars.com/vehicledetail/f5e9f153-e3ff-4371-b52c-de6709919e3a/,Used,2013 Ferrari 458 Spider Base,$259995
www.cars.com/vehicledetail/5c1999d7-8b10-44f3-9fa4-3c93ffe013d1/,Used,2016 Ferrari 488 GTB Base,$267900
www.cars.com/vehicledetail/6fb2719a-0f18-40d5-bdf5-9ddf73fcc876/,Used,2021 Ferrari SF90 Stradale,$899000
www.cars.com/vehicledetail/81a7b5d4-56b1-4d30-b12c-03f423cbcb83/,Used,2021 Ferrari SF90 Stradale,$829000
www.cars.com/vehicledetail/4bf5397c-eb8a-499f-9624-10f8f364c641/,Used,1986 Ferrari 328 GTS,$129844
www.cars.com/vehicledetail/c64d18e7-ba95-44f4-8b3f-863d46a4ca4d/,Used,2015 Ferrari 458 Italia Base,$258888
www.cars.com/vehicledetail/a4d7bb3b-fab0-49c3-ba6b-e03162343067/,Used,2010 Ferrari 599 GTB Fiorano HGTE,$239000
www.cars.com/vehicledetail/def101f4-0b71-436b-b14b-00b3099729c2/,Used,2016 Ferrari California T,$179800
www.cars.com/vehicledetail/edbcbffc-3cd7-407e-9e9b-96300a12692b/,Used,2016 Ferrari 488 GTB Base,$285000
www.cars.com/vehicledetail/9010c09a-fb89-45ff-a0f3-7b7c8aabec17/,Ferrari Certified,2019 Ferrari 488 Pista Base,$514995
www.cars.com/vehicledetail/29426a9d-9684-47e7-a538-881688e4137f/,Used,2017 Ferrari 488 GTB Base,$289990
